id,name,longitude,latitude,easting,northing,kind,coordinate_confidence,core_radius_m,transition_radius_m,x_cm,y_cm,target_elevation_m,maximum_grading_delta_m,z_cm,centre_is_dry
City.Konigsberg,Königsberg (Kaliningrad),20.51,54.706,4995930.83513028,3560368.338943482,member,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",220.0,1038.3680115763293,5364827.087825699,4099079.152641295,3.0,1.5,300.0,True
City.Riga,Riga,24.105,56.949,5173771.089887959,3845027.345495117,member,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",220.0,1400.0,5809427.724719897,3387431.6362622078,3.0,1.5,300.0,True
City.Reval,Reval (Tallinn),24.745,59.437,5152536.690482799,4124097.4855446615,member,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",220.0,1400.0,5756341.7262069965,2689756.286138346,3.0,1.4999096393585205,300.0,True
City.Dorpat,Dorpat (Tartu),26.723,58.38,5290507.991813112,4034315.7853209963,member,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",220.0,1400.0,6101269.979532779,2914210.5366975092,6.16965389251709,1.4632139205932617,616.9653930664062,True
City.Visby,Visby,18.294,57.641,4815700.34915169,3866407.1653567045,member,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",220.0,1400.0,4914250.872879224,3333982.0866082385,3.0,2.2629714012145996,300.0,True
City.Stockholm,Stockholm,18.071,59.325,4780348.534287912,4051030.5241749864,trading_destination,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",220.0,1400.0,4825871.335719779,2872423.689562534,3.0,1.465076208114624,300.0,True
City.Bremen,Bremen,8.807,53.076,4241045.012967446,3330388.3624508586,member,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",220.0,1045.8058885237556,3477612.5324186143,4674029.093872854,3.0,1.5,300.0,True
City.Cologne,Cologne (Köln),6.958,50.938,4107240.3877813066,3096290.3387282873,member,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",177.26566787976049,805.7530358170931,3143100.969453267,5259274.153179281,6.350531578063965,0.5867676734924316,635.0531616210938,True
City.Bruges,Bruges,3.225,51.209,3848328.777902567,3143924.9137273375,kontor,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",220.0,1400.0,2495821.944756417,5140187.715681656,3.0,1.5,300.0,True
City.London,London,-0.091,51.513,3623050.501725956,3204168.4318684153,kontor,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",220.0,1400.0,1932626.2543148897,4989578.920328962,3.0,1.4302263259887695,300.0,True
City.Bergen,Bergen,5.323,60.397,4062642.108335184,4152581.967924654,kontor,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",220.0,1400.0,3031605.27083796,2618545.0801883647,3.5778589248657227,29.617895126342773,357.785888671875,True
City.Kampen,Kampen,5.913,52.557,4043972.4663448953,3279762.438169577,member,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",91.36850318363494,415.31137810743155,2984931.165862238,4800593.904576057,3.0,1.5,300.0,True
City.Deventer,Deventer,6.156,52.252,4058625.732756177,3244966.381042015,member,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",91.36850318363494,415.31137810743155,3021564.3318904424,4887584.047394963,3.0,1.5,300.0,True
City.Munster,Münster,7.628,51.962,4157991.2034844877,3208424.027237242,member,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",123.63848099157862,561.9930954162664,3269978.0087112193,4978939.931906895,7.664480209350586,0.35385560989379883,766.447998046875,True
City.Dortmund,Dortmund,7.466,51.514,4145132.4636127558,3158978.4039466674,member,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",108.53124535356214,493.3238425161916,3237831.1590318894,5102553.990133331,11.826757431030273,1.4363765716552734,1182.67578125,True
City.Soest,Soest,8.106,51.571,4189701.282893717,3163971.354093124,member,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",108.53124535356214,493.3238425161916,3349253.207234292,5090071.61476719,12.710916519165039,2.0246639251708984,1271.0916748046875,True
City.Brunswick,Brunswick (Braunschweig),10.521,52.264,4356570.301191696,3239502.374101417,member,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",220.0,1207.9024218486763,3766425.75297924,4901244.064746456,9.37387466430664,0.7154359817504883,937.387451171875,True
City.Thorn,Thorn (Toruń),18.604,53.01,4896984.5474465825,3356561.590832457,member,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",220.0,1400.0,5117461.368616456,4608596.022918858,6.080599784851074,1.2791118621826172,608.0599975585938,True
City.Krakow,Kraków,19.938,50.062,5030166.386981066,3042546.6914453055,member,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",220.0,1400.0,5450415.967452665,5393633.271386735,26.38298797607422,0.9114170074462891,2638.298828125,True
City.Novgorod,Novgorod,31.276,58.521,5541369.314712073,4119747.7350580688,kontor,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",220.0,1400.0,6728423.286780181,2700630.662354828,3.156838893890381,0.42679595947265625,315.68389892578125,True
